#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"DisplayName","Direction","Action"
"Cast to Device streaming server (RTCP-Streaming-In)","Inbound","Allow"
"Core Networking - Neighbor Discovery Solicitation (ICMPv6-Out)","Outbound","Allow"
"Remote Desktop - User Mode (TCP-In)","Inbound","Allow"
"Remote Desktop - User Mode (UDP-In)","Inbound","Allow"
"Core Networking - IPv6 (IPv6-Out)","Outbound","Allow"
"Cast to Device streaming server (HTTP-Streaming-In)","Inbound","Allow"
"Cast to Device streaming server (HTTP-Streaming-In)","Inbound","Allow"
"Core Networking - Internet Group Management Protocol (IGMP-In)","Inbound","Allow"
"Core Networking - Group Policy (NP-Out)","Outbound","Allow"
"Cast to Device streaming server (RTSP-Streaming-In)","Inbound","Allow"
"File and Printer Sharing (NB-Name-Out)","Outbound","Allow"
"Core Networking - Multicast Listener Report v2 (ICMPv6-In)","Inbound","Allow"
"File and Printer Sharing (NB-Datagram-In)","Inbound","Allow"
"Core Networking - Multicast Listener Query (ICMPv6-In)","Inbound","Allow"
"File and Printer Sharing (LLMNR-UDP-In)","Inbound","Allow"
"Windows Device Management Sync Client (TCP out)","Outbound","Allow"
"Core Networking - Multicast Listener Report (ICMPv6-In)","Inbound","Allow"
"DIAL protocol server (HTTP-In)","Inbound","Allow"
"Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-Out)","Outbound","Allow"
"File and Printer Sharing (LLMNR-UDP-Out)","Outbound","Allow"
"Core Networking - Time Exceeded (ICMPv6-In)","Inbound","Allow"
"mDNS (UDP-In)","Inbound","Allow"
"Core Networking - Group Policy (TCP-Out)","Outbound","Allow"
"mDNS (UDP-In)","Inbound","Allow"
"Your account","Outbound","Allow"
"Your account","Inbound","Allow"
"Work or school account","Outbound","Allow"
"Work or school account","Inbound","Allow"
"Captive Portal Flow","Outbound","Allow"
"Windows Feature Experience Pack","Outbound","Allow"
"Start","Outbound","Allow"
"Start","Inbound","Allow"
"Windows Shell Experience","Outbound","Allow"
"Windows Search","Outbound","Allow"
"Windows Search","Inbound","Allow"
"Windows Security","Outbound","Allow"
"Windows Shell Experience","Outbound","Allow"
"Narrator","Outbound","Allow"
"Windows Defender SmartScreen","Outbound","Allow"
"Desktop App Web Viewer","Outbound","Allow"
"Desktop App Web Viewer","Inbound","Allow"
"Windows Default Lock Screen","Outbound","Allow"
"Email and accounts","Outbound","Allow"
"Kerberos Key Distribution Center (TCP-In)","Inbound","Allow"
"Kerberos Key Distribution Center (UDP-In)","Inbound","Allow"
"Microsoft Key Distribution Service (RPC)","Inbound","Allow"
"DFS Management (TCP-In)","Inbound","Allow"
"DFS Management (DCOM-In)","Inbound","Allow"
"Active Directory Web Services (TCP-In)","Inbound","Allow"
"Kerberos Key Distribution Center - PCR (TCP-In)","Inbound","Allow"
"DFS Management (SMB-In)","Inbound","Allow"
"DFS Management (WMI-In)","Inbound","Allow"
"DFS Replication (RPC-EPMAP)","Inbound","Allow"
"File Replication (RPC-EPMAP)","Inbound","Allow"
"Active Directory Domain Controller - SAM/LSA (NP-TCP-In)","Inbound","Allow"
"DFS Replication (RPC-In)","Inbound","Allow"
"File Replication (RPC)","Inbound","Allow"
"Active Directory Domain Controller (RPC)","Inbound","Allow"
"Active Directory Domain Controller (UDP-Out)","Outbound","Allow"
"Active Directory Domain Controller - SAM/LSA (NP-UDP-In)","Inbound","Allow"
"Kerberos Key Distribution Center - PCR (UDP-In)","Inbound","Allow"
"Active Directory Domain Controller - LDAP (TCP-In)","Inbound","Allow"
"Active Directory Domain Controller - LDAP (UDP-In)","Inbound","Allow"
"Active Directory Domain Controller - LDAP for Global Catalog (TCP-In)","Inbound","Allow"
"Active Directory Domain Controller - Secure LDAP for Global Catalog (TCP-In)","Inbound","Allow"
"Active Directory Domain Controller -  Echo Request (ICMPv4-Out)","Outbound","Allow"
"Active Directory Domain Controller -  Echo Request (ICMPv6-Out)","Outbound","Allow"
"Active Directory Web Services (TCP-Out)","Outbound","Allow"
"Active Directory Domain Controller (RPC-EPMAP)","Inbound","Allow"
"Active Directory Domain Controller - Secure LDAP (TCP-In)","Inbound","Allow"
"Active Directory Domain Controller (TCP-Out)","Outbound","Allow"
"Active Directory Domain Controller - W32Time (NTP-UDP-In)","Inbound","Allow"
"Active Directory Domain Controller -  Echo Request (ICMPv4-In)","Inbound","Allow"
"Active Directory Domain Controller -  Echo Request (ICMPv6-In)","Inbound","Allow"
"Microsoft Key Distribution Service (RPC EPMAP)","Inbound","Allow"
"Active Directory Domain Controller - NetBIOS name resolution (UDP-In)","Inbound","Allow"
"All Outgoing (TCP)","Outbound","Allow"
"DNS (UDP, Incoming)","Inbound","Allow"
"RPC (TCP, Incoming)","Inbound","Allow"
"All Outgoing (UDP)","Outbound","Allow"
"DNS (TCP, Incoming)","Inbound","Allow"
"RPC Endpoint Mapper (TCP, Incoming)","Inbound","Allow"
"File Server Remote Management (DCOM-In)","Inbound","Allow"
"File Server Remote Management (WMI-In)","Inbound","Allow"
"File Server Remote Management (SMB-In)","Inbound","Allow"
"Allow NTP Inbound","Inbound","Allow"
"OpenSSH SSH Server (sshd)","Inbound","Allow"
"WinRM HTTPS","Inbound","Allow"
"Microsoft Edge (mDNS-In)","Inbound","Allow"
